Message,Post URL
"A key benefit of mikado graphs is that we can stick them on the wall for everyone to know where we stand in a #refactoring. ""Incremental Software Development Strategies for Large Scale Refactoring #3 : Manage it !"" https://bit.ly/2WkfLX2 #MikadoMethod #VisualManagement ",https://philippe.bourgau.net/incremental-software-development-strategies-for-large-scale-refactoring-number-3-manage-it/
"Keeping a #WorkInProgress limit on #refactorings is essential. Read more tips to self-organize around team refactoring efforts in ""Incremental Software Development Strategies for Large Scale Refactoring"" https://bit.ly/2WkfLX2 #softwaredevelopment #SoftwareCraftsmanship",https://philippe.bourgau.net/incremental-software-development-strategies-for-large-scale-refactoring-number-3-manage-it/
"Incremental #refactoring is not only about baby steps, it's also about early value delivery ! ""Incremental Software Development Strategies for Large Scale Refactoring part 4 : a #Pattern Language"" https://bit.ly/3bmidAs #Software #XP",https://philippe.bourgau.net/incremental-software-development-strategies-for-large-scale-refactoring-number-4-a-pattern-language/
"Feature toggles are painful, but branches are worse ! https://bit.ly/3bmidAs #refactoring #patterns ",https://philippe.bourgau.net/incremental-software-development-strategies-for-large-scale-refactoring-number-4-a-pattern-language/
Mastering pitch is a great first step for developers who want to get sponsorship for a #refactoring. https://bit.ly/3dDaj7c #Pitch #Software ,https://philippe.bourgau.net/presenting-a-large-scale-refactoring-as-a-business-opportunity/
"In many cases, an expectation of less bugs and more features is what gets a #refactoring prioritized. ""Presenting a large scale refactoring as a business opportunity""  https://bit.ly/3dDaj7c",https://philippe.bourgau.net/presenting-a-large-scale-refactoring-as-a-business-opportunity/
A disease might be a better metaphor than #TechnicalDebt for #CodeCruft. https://bit.ly/2xSs2IR,https://philippe.bourgau.net/effective-warning-signals-to-get-sponsorship-for-a-large-scale-refactoring/
The Therac-25 (a radiation therapy machine) killed 6 people because it was difficult to perform automated tests !,https://philippe.bourgau.net/effective-warning-signals-to-get-sponsorship-for-a-large-scale-refactoring/
"We must detail precisely what #refactoring we want before making a #businessCase for it. Read more in ""Making the business case for a large scale refactoring"" https://bit.ly/3cpjcRF #LegacyCode",https://philippe.bourgau.net/making-the-business-case-for-a-large-scale-refactoring-part-1/
The cost of not doing a #refactoring is the sum of all the waste work generated by the current code. https://bit.ly/3cpjcRF #BusinessCase #TechnicalDebt #programming ,https://philippe.bourgau.net/making-the-business-case-for-a-large-scale-refactoring-part-1/
"The longer the life expectancy of your product, the more #refactoring you should invest in! https://bit.ly/3ctIqPa #programming #software #TechnicalDebt",https://philippe.bourgau.net/become-a-business-partner-and-stop-begging-for-refactoring/
Avoiding bad moves is a key benefit of making a business case for large scale refactoring!,https://philippe.bourgau.net/become-a-business-partner-and-stop-begging-for-refactoring/
"Decentralized decision rules are agreed once, but used many times, without involving management. https://bit.ly/3ctIqPa #lpd2 #SelfOrganization",https://philippe.bourgau.net/become-a-business-partner-and-stop-begging-for-refactoring/
"Becoming a business partners lets developers have a permanent #refactoring bandwidth.""Become a Business Partner and Stop Begging for Refactoring""  https://bit.ly/3ctIqPa #BDD",https://philippe.bourgau.net/become-a-business-partner-and-stop-begging-for-refactoring/
Timeboxing #refactoring with 'x team members full time' is a lot easier to do than with typical time constraints. https://bit.ly/2zwqvZy #Software ,https://philippe.bourgau.net/how-to-maintain-a-business-partnership-about-refactoring/
"Use data to spot the best #refactoring to work on. That's one of the things to do to ""Maintain a business partnership about refactoring?"" https://bit.ly/2zwqvZy",https://philippe.bourgau.net/how-to-maintain-a-business-partnership-about-refactoring/
Read about an unexpected 25% productivity boost for 30 minutes of weekly fruit management! A story about #complexity in the modern workplace. https://bit.ly/3conWHs,https://philippe.bourgau.net/how-we-increased-productivity-by-25-with-a-fruit-basket-at-work/
"In a complex world, nothing is straightforward. Things only appear to make sense after the fact.",https://philippe.bourgau.net/how-we-increased-productivity-by-25-with-a-fruit-basket-at-work/
What's the first thing I see when I open my kanban board: TODO items! Time to flip the board,https://philippe.bourgau.net/its-time-to-flip-your-kanban-board-setup/
"Inverting #Kanban board columns contributes to a more #sustainablePace! Read about ""The best 10 seconds I spent on my Kanban board setup"" https://bit.ly/35PZH2g",https://philippe.bourgau.net/its-time-to-flip-your-kanban-board-setup/
We need to adapt Kanban boards according to people's cultures.,https://philippe.bourgau.net/vertical-kanban-board-setup/
"#Kanban boards: Could we replace these sad, sterile and mechanic #process tools with something more humane? Let's try ""Vertical Kanban Board Setups"" https://bit.ly/3fDyS62 #scrum ",https://philippe.bourgau.net/vertical-kanban-board-setup/
"At school, we were tought to write all pseudo code on paper before touching the keyboard at all!",https://philippe.bourgau.net/misadventures-with-big-design-up-front/
"Very often, people eventually capitulate to a design to end the painful #BigDesignUpFront process! Read more ""Misadventures with #BDUF"" here, and discover an alternative way! https://bit.ly/2zr8dIX #EventStorming #DDD",https://philippe.bourgau.net/misadventures-with-big-design-up-front/
We cannot achieve a sustainable pace without incremental design!,https://philippe.bourgau.net/how-to-squash-big-design-up-front-in-a-few-days-with-event-storming/
"Having a shared vision helps everyone in the team to know how to refactor the code at any moment. ""How I learned to do Big Design Up Front in 2 days of #EventStorming"" https://bit.ly/2WkfNhC #refactoring #DDD",https://philippe.bourgau.net/how-to-squash-big-design-up-front-in-a-few-days-with-event-storming/
