Post;Url;Last tweet date;Nugget 1;Nugget 1 tweet date;Nugget 2;Nugget 2 tweet date;Nugget 3;Nugget 3 tweet date;Nugget 4;Nugget 4 tweet date;Nugget 5;Nugget 5 tweet date;Nugget 6 ;Nugget 6 tweet date;Nugget 7;Nugget 7 tweet date;Nugget 8;Nugget 8 tweet date;Nugget 9;Nugget 9 tweet date;;;;;;
There can be only one css stylesheet per media,https://philippe.bourgau.net/there-can-be-only-one-css-stylesheet-per-medi/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
Making C# properties first class objects,https://philippe.bourgau.net/making-c-properties-first-class-objects/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
Automaticaly rollback static overrides when testing legacy code,https://philippe.bourgau.net/75417332/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
How to test a class using an implementation helper ?,https://philippe.bourgau.net/how-to-test-a-class-using-an-implementation-h/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
A useful link to find free pictures,https://philippe.bourgau.net/a-nice-place-to-find-free-pictures-for-my-web/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Agile,https://philippe.bourgau.net/scaling-agile/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
Ruby thirdparties best practices,https://philippe.bourgau.net/ruby-thirdparties-best-practices/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
Hackers et peintres,https://philippe.bourgau.net/hackers-et-peintres/,11/07/2018,@paulg's famous Hackers and Painters ... in French ! ,11/07/2018,,,,,,,,,,,,,,,,,,,,,,
Motivation game,https://philippe.bourgau.net/motivation-game-53790/,14/09/2018,Struggling to set a #team practice in place ? Try this #motivation hack. All you need is a A3 printed comic and post-its ... https://bit.ly/2KVIF9d #gamification ,14/09/2018,,,,,,,,,,,,,,,,,,,,,,
The poor man's memory profiling,https://philippe.bourgau.net/the-holy-code-antipattern/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
#1 rule for monitoring emails',https://philippe.bourgau.net/1-rule-for-monitoring-emails/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
Don't repeat names in cucumber scenarios,https://philippe.bourgau.net/does-programming-equal-refactoring/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
Hitting the middle ground between classicist and mockist TDD,https://philippe.bourgau.net/hitting-the-middle-ground-between-classicist-and-mockist-tdd/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
My own side project best practices after reading the 'Side Project Book',https://philippe.bourgau.net/my-new-gem-for-creating-rspec-proxies/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
Trying to explain monads in java,https://philippe.bourgau.net/trying-to-explain-monads-in-java/,21/09/2011,,,,,,,,,,,,,,,,,,,,,,,,
Sprints are not sprints,https://philippe.bourgau.net/sprints-are-not-sprints/,17/09/2018,Tell me how to #sprint while going at a #SustainablePace ? #Scrum got the wording completely wrong ... https://bit.ly/2Wo4weZ,17/09/2018,,,,,,,,,,,,,,,,,,,,,,
